name	pearls	baystars	unions
Game 1	0.000	0.000	0.000
Game 2	0.000	0.000	0.000
Game 3	0.333	0.000	0.000
Game 4	0.250	0.000	0.000
Game 5	0.200	0.000	0.000
Game 6	0.167	0.000	0.000
Game 7	0.143	0.000	0.000
Game 8	0.125	0.000	0.000
Game 9	0.111	0.143	0.000
Game 10	0.100	0.250	0.000
Game 11	0.182	0.222	0.000
Game 12	0.167	0.300	0.000
Game 13	0.154	0.273	0.077
Game 14	0.214	0.250	0.071
Game 15	0.200	0.231	0.133
Game 16	0.188	0.214	0.188
Game 17	0.188	0.200	0.176
Game 18	0.176	0.188	0.222
Game 19	0.167	0.176	0.211
Game 20	0.158	0.167	0.250
Game 21	0.150	0.167	0.238
Game 22	0.143	0.167	0.273
Game 23	0.182	0.158	0.261
Game 24	0.174	0.150	0.250
Game 25	0.167	0.190	0.280
Game 26	0.160	0.182	0.269
Game 27	0.154	0.174	0.259
Game 28	0.185	0.167	0.286
Game 29	0.179	0.200	0.310
Game 30	0.179	0.231	0.333
Game 31	0.172	0.222	0.323
Game 32	0.167	0.250	0.313
Game 33	0.161	0.276	0.333
Game 34	0.156	0.300	0.324
Game 35	0.152	0.290	0.314
Game 36	0.147	0.313	0.306
Game 37	0.171	0.333	0.297
Game 38	0.167	0.324	0.289
Game 39	0.162	0.314	0.308
Game 40	0.184	0.306	0.300
Game 41	0.179	0.306	0.293
Game 42	0.175	0.297	0.310
Game 43	0.195	0.297	0.326
Game 44	0.214	0.289	0.318
Game 45	0.233	0.308	0.333
Game 46	0.227	0.300	0.326
Game 47	0.222	0.293	0.340
Game 48	0.217	0.310	0.333
Game 49	0.213	0.302	0.327
Game 50	0.208	0.318	0.320
Game 51	0.224	0.333	0.314
Game 52	0.220	0.333	0.308
Game 53	0.216	0.326	0.302
Game 54	0.212	0.340	0.296
Game 55	0.226	0.340	0.291
Game 56	0.222	0.354	0.304
Game 57	0.218	0.347	0.316
Game 58	0.214	0.360	0.310
Game 59	0.211	0.373	0.305
Game 60	0.207	0.365	0.300
Game 61	0.203	0.365	0.295
